Venue,City,State,POI,Category,Address,Distance From Venue
The Brass Monkey,Ottawa,Ontario,,,,
Elements,Kitchener,Ontario,,,,
The Phoenix Concert Theatre,Toronto,Ontario,The National Toy Museum of Canada,History Museum,1410 Broad St,286.0
The Phoenix Concert Theatre,Toronto,Ontario,"The Key Chain Museum of North America - Victoria , Bc Canada",Museum,764B Yates St,459.0
The Phoenix Concert Theatre,Toronto,Ontario,Office of the Information and Privacy Commissioner for British Columbia,"Museum,Community and Government",756 Fort St,440.0
The Starlite Room - Temple,Edmonton,Alberta,,,,
Spot 1 Grill & Music Hall,Brampton,Ontario,,,,
Northern Alberta Jubilee Auditorium,Edmonton,Alberta,,,,
Casino Nova Scotia - The Bruce Guthro Theatre,Halifax,Nova Scotia,,,,
REBEL,Toronto,Ontario,,,,
Grey Eagle Event Centre,Calgary,Alberta,,,,
West Central Events Centre,Kindersley,Saskatchewan,,,,
Centre in The Square,Kitchener,Ontario,,,,
Casino Rama Resort,Rama,Ontario,,,,
BC Place,Vancouver,British Columbia,,,,
PNE Forum,Vancouver,British Columbia,,,,
Thunder Bay Community Auditorium,Thunder Bay,Ontario,,,,
Meridian Arts Centre: Lyric Theatre,Toronto,Ontario,Chinese Cultural Centre of Greater Vancouver 大溫哥華中華文化中心,History Museum,50 Pender St E,773.0
Meridian Arts Centre: Lyric Theatre,Toronto,Ontario,Centre Stage,Science Museum,1455 Quebec St,700.0
Meridian Arts Centre: Lyric Theatre,Toronto,Ontario,Vancouver Centre For Contemp,Museum,849 Homer St,496.0
Meridian Arts Centre: Lyric Theatre,Toronto,Ontario,Chinatown Storytelling Centre,Museum,168 Pender St E,986.0
Meridian Arts Centre: Lyric Theatre,Toronto,Ontario,"Island View Family Golf Centre, Vancouver",Museum,63 Keefer Pl,600.0
Opera House-Toronto,Toronto,Ontario,,,,
Hilton Vancouver Metrotown,Burnaby,British Columbia,,,,
Lee's Palace,Toronto,Ontario,,,,
The Starlight Room at The El Mocambo,Toronto,Ontario,,,,
Capitol Music Club,Saskatoon,Saskatchewan,,,,
Le Studio TD,Montreal,Quebec,,,,
