Venue,City,State,POI,Category,Address,Distance From Venue
CENTRE COURT - IGA STADIUM,Montreal,Quebec,,,,
Sobeys Stadium,Toronto,Ontario,,,,
Reid Field House,Cold Lake,Alberta,,,,
South Huron Recreation Centre Rodeo Arena,Exeter,Ontario,,,,
Auditorium de Verdun,Verdun,Quebec,,,,
New Liskeard Fair Grounds,Temiskaming Shores,Ontario,,,,
Purple Hill Farms,Thorndale,Ontario,,,,
Royal Athletic Park,Victoria,British Columbia,,,,
Northern Range,Verner,Ontario,,,,
The Royal Montreal Golf Club,Ile Bizard,Quebec,,,,
Ancaster Fairgrounds,Jerseyville,Ontario,,,,
Atlantic Canada Venue TBD,Halifax,Nova Scotia,Maritime Museum of the Atlantic,Museum,1675 Lower Water St,180.0
Sleeman Centre,Guelph,Ontario,Ed Video Media Arts Centre,"Art Gallery,Museum,Media Agency,Coworking Space,Cultural Center",40 Baker St,420.0
