Business ID,Name,Ratings,Pricing,Category,Distance_From_Venue,Address,City,State,Latitude,Longitude
xIKmVF_kRG_NDsmg0xmzTw,Nuna Kitchen & Bar,4.5,Information not available,International,1161.782409932725,1265 Queen Street W,Toronto,ON,43.64154,-79.43112
UQJBMqrm4fAmUiKPf6bzaw,Chiang Mai,4.5,Information not available,Thai,795.0808627972235,171 E Liberty St,Toronto,ON,43.6381655863887,-79.4175398947282
kOFDVcnj-8fd3doIpCQ06A,Mildred's Temple Kitchen,4.0,$$,Breakfast & Brunch,855.8094665026937,85 Hanna Avenue,Toronto,ON,43.6399108749312,-79.4204235076904
eoG9zP7xxsDHVM0kJYrvkw,The Shameful Tiki Room,3.8,$$,Tiki Bars,1248.528717166027,1378 Queen Street W,Toronto,ON,43.64145,-79.43328
FCMRBcvrwN01eT6WRaTC6A,The Craft Brasserie & Grille,3.6,$$,Brasseries,792.806176651953,107 Atlantic Avenue,Toronto,ON,43.6394076328957,-79.4208196351823
56NlsgaDP195RIg799yGJA,Burger Drops,4.3,Information not available,Burgers,792.897485816799,116 Atlantic Avenue,Toronto,ON,43.6395072,-79.4213172
HjZCuRTUCdykLkdgfU3R4A,Grand Bizarre,2.4,Information not available,Bars,11.070684961868183,15 Saskatchewan Road,Toronto,ON,43.632501,-79.423708
qRTbYc7ennnwfr992kfjdA,Caffino Ristorante,3.9,$$,Italian,743.7756489646144,1185 King Street W,Toronto,ON,43.63914,-79.42547
fEGJVOxmBhCHuYDkje-K3g,OEB Breakfast Co. Liberty Village,4.6,$$,Breakfast & Brunch,876.3199785574693,125 E Liberty Street,Toronto,ON,43.63836,-79.41623
57A0dLJ8dvnFUgUTu0vBnw,Beaver Tails,4.1,Information not available,Desserts,108.12859543422628,210 Princes' Boulevard,Toronto,ON,43.6330599,-79.4225567
i--dxuKd_6Dx7mwgQ5nl-g,School Restaurant,3.6,$$,Bakeries,579.383131597221,70 Fraser Avenue,Toronto,ON,43.63784,-79.42435
Dg4k7Y4Zy17ht_KCY7PfSQ,The MoMo House,4.6,Information not available,Dumplings,1308.9076741307822,1422 Queen Street W,Toronto,ON,43.64119,-79.43505
T6uVlXYp9XeW8U9QajqQdg,'ONO Poké Bar,4.2,$$,Hawaiian,976.6500550626197,100 Western Battery Road,Toronto,ON,43.639228294355334,-79.41577951831691
4eqHtgdXEPG6V-Jzy0MhKw,Miss Things,3.4,$$$,Cocktail Bars,1183.2831806619363,1279 Queen Street W,Toronto,ON,43.6414601,-79.431879
X_siTA_5pEvKUpNhYcxXOw,Skyline Restaurant,4.0,$$,Bars,1314.3387353105197,1426 Queen Street W,Toronto,ON,43.64109,-79.4351499
q1R4-UD8Al-2G226g0Ij0A,Ali's West Indian Roti Shop,4.0,$,Caribbean,1343.563492094896,1446 Queen Street W,Toronto,ON,43.64101,-79.43599
rfgln6-7WFCu7S7fOoqMdA,Loga's Corner,4.5,$,Himalayan/Nepalese,1313.4990879868733,216C Close Avenue,Toronto,ON,43.64053,-79.43597
TuJVTcMHZTf7tP6hBS3gRw,Louie Coffee Shop,4.4,$,Coffee & Tea,748.5130505324403,1187 King Street W,Toronto,ON,43.6392011,-79.4255473
bUL0ccO-bbQICKHImPUyJQ,JOEY Bell Tower,3.9,$$,Canadian (New),279.61461115227473,10310 101 Street NW,Edmonton,AB,53.5451088,-113.49416913725828
E8CBQWDoCK3WujyMFfVG2A,Chop steakhouse,3.5,$$$,Seafood,230.15540675494964,10235 101 Street,Edmonton,AB,53.54506,-113.4935
rOf6nKWlPvfZvFm4VAZk2w,Pazzo Pazzo Italian Cuisine,3.7,$$,Italian,115.92361824511762,10016-103 Avenue NW,Edmonton,AB,53.5456955,-113.4918893
fdez0D4ovth2k1IvR0ZbpQ,Sabor,4.3,$$$,Portuguese,572.6810188485377,10220 103 Street,Edmonton,AB,53.543381087231,-113.497605148344
