Venue,Address,City,State,latitude,longitude
Wilfrid-Pelletier,175 Rue Sainte-Catherine Ouest,Montreal,Quebec,45.507264,-73.567414
Velvet Underground,508 Queen St. W.,Toronto,Ontario,43.6477172,-79.4014822
Union Hall,6240 - 99 Street,Edmonton,Alberta,53.498703,-113.487494
The Opera House,735 Queen St. E.,Toronto,Ontario,43.6590002,-79.3487743
The Axis Club (formerly known as The Mod Club) ,722 College St.,Toronto,Ontario,43.6551655,-79.4190636
Kelowna Community Theatre,1375 Water Street,Kelowna,British Columbia,49.8898777,-119.4965631
Coca-Cola Coliseum,45 Manitoba Drive,Toronto,Ontario,43.6350968,-79.4157243
Kelowna Theatre,1435 Water St.,Kelowna,British Columbia,0.0,0.0
Bar le Ritz PDB,179 Jean-Talon Ouest,Montreal,Quebec,0.0,0.0
Bo's Bar & Stage,2310 50 Avenue,Red Deer,Alberta,52.24178,-113.81564
Fortune Sound Club,147 E Pender Street,Vancouver,British Columbia,49.280528,-123.100751
Place Bell,1950 Rue Claude-Gagne,Laval,Quebec,45.555195,-73.722521
The Drake Hotel,1150 Queen Street West,Toronto,Ontario,43.6431078,-79.4246457
Orpheum Theatre,884 Granville St.,Vancouver,British Columbia,49.2804917,-123.1211044
Massey Hall,178 Victoria St.,Toronto,Ontario,43.6541869,-79.3789975
The Park Theatre,698 Osborne Street,Winnipeg,Manitoba,49.86225,-97.13167
Mohawk College - McIntyre Performing Arts Centre,135 Fennell Avenue West,Hamilton,Ontario,43.23912,-79.88521
Showplace Performance Centre,290 George Street North,Peterborough,Ontario,44.30248,-78.31942
The Grand,28 Elgin Street,Sudbury,Ontario,46.49377,-80.99623
Burton Cummings Theatre,364 Smith St.,Winnipeg,Manitoba,49.8958226,-97.143639
SaskTel Centre,3515 Thatcher Ave.,Saskatoon,Saskatchewan,52.1909398,-106.6774643
Meridian Arts Centre: George Weston,5040 Yonge Street,Toronto,Ontario,43.7661379,-79.4142505
OLG Stage at Fallsview Casino,6366 Stanley Ave,Niagara Falls,Ontario,43.08313014,-79.08403497
L'Olympia,1004 Sainte-Catherine Street East,Montreal,Quebec,45.51701,-73.556874
Jack Singer Concert Hall at Arts Commons,201 8th Ave. SE,Calgary,Alberta,51.0454308,-114.0604131
Jack Singer Hall,201 Eighth Ave. S.E.,Calgary,Alberta,0.0,0.0
Cowboys Ranch London,60 Wharncliffe Road,London,Ontario,42.9837,-81.2634
Meridian Arts Centre: Greenwin Theatre,147 East Pender Street,Toronto,Ontario,49.2805197,-123.1007382
Canada Life Centre,300 Portage Ave.,Winnipeg,Manitoba,43.766058,-79.414495
Rum Runners,178 Dundas St,London,Ontario,49.8933677,-97.1437156
Bridgeworks,200 Caroline St. N,Hamilton,Ontario,45.451756,-75.650013
Meridian Centre,1 David S Howes Way,St Catharines,Ontario,43.26489942,-79.87284747
General Sikorski Hall,1551 Stevenson Road N.,Oshawa,Ontario,43.156201,-79.243972
The Dance Cave,529 Bloor Street West,Toronto,Ontario,43.93507,-78.89778
Blue Grotto,#1-319 Victoria Street,Kamloops,British Columbia,43.665244,-79.409452
